artist_name,track_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
Led Zeppelin,Black Dog,27.400000000000002,43.2,84.8,3.44,23.3,-8.095,8.780000000000001,81.201,74.3,Rock
Mike Posner,Song About You,18.0,67.60000000000001,84.89999999999999,0.00237,9.98,-3.008,4.12,87.025,64.1,Pop
Van Morrison,Days Like This,65.8,66.0,54.1,0.127,9.28,-7.851,5.76,93.744,69.3,Rock
The 1975,Give Yourself A Try,0.00306,31.3,80.0,0.0,49.7,-5.011,6.83,183.047,87.1,Rock
HUNNY,Parking Lot,0.303,49.8,84.39999999999999,0.0,35.5,-5.163,4.74,103.97,46.9,Rock
Yuna,Crush,36.6,67.80000000000001,41.4,0.00037799999999999997,8.85,-10.144,4.9799999999999995,130.031,35.5,Pop
Aldo Nova,Fantasy,0.004699999999999999,51.5,87.8,0.0349,13.8,-6.808,7.07,131.268,37.1,Rock
Whitney Houston,I Have Nothing,57.599999999999994,54.0,40.1,0.0,16.400000000000002,-10.499,3.64,152.974,24.0,Pop
The Rolling Stones,Can't You Hear Me Knocking - Remastered,43.0,55.400000000000006,76.7,5.71,18.6,-5.101,4.31,151.505,67.60000000000001,Rock
Silk,Freak Me,2.9499999999999997,69.69999999999999,60.8,0.0,27.6,-10.976,4.63,133.879,72.5,Pop
Pretenders,Hymn To Her - 2007 Remastered Version,12.7,54.50000000000001,55.2,0.0,10.5,-9.351,3.46,95.166,24.3,Rock
The Angels,My Boyfriend's Back,69.1,67.9,87.1,0.0,8.83,-6.041,15.9,135.111,96.39999999999999,Rock
The 1975,Love Me,0.9249999999999999,62.4,80.30000000000001,0.00375,61.3,-3.312,3.82,97.027,89.9,Pop
Joni Mitchell,Big Yellow Taxi,57.9,61.1,47.0,0.0,58.099999999999994,-9.135,3.56,85.527,97.0,Pop
Imagine Dragons,Believer - Kaskade Remix,16.3,72.8,65.60000000000001,0.000117,11.700000000000001,-5.111,4.82,126.044,16.8,Rock
Future,Servin Killa Kam,0.0807,84.7,66.10000000000001,0.126,10.4,-4.614,5.48,143.979,18.4,Pop
Tribal Theory,Hell Of A Night ft. Beach Boy,21.099999999999998,74.5,67.4,0.00542,29.299999999999997,-6.005,10.2,91.975,70.3,Rock
Bread,Make It with You,66.0,62.9,35.6,0.061700000000000005,17.299999999999997,-11.135,2.46,83.886,47.199999999999996,Rock
a-ha,Take on Me,1.7999999999999998,57.3,90.2,0.125,9.28,-7.638,5.4,84.412,87.6,Rock
Childish Gambino,Summertime Magic,1.29,76.0,57.9,0.35100000000000003,10.6,-7.374,5.6899999999999995,100.01,12.5,Pop
Twenty One Pilots,Car Radio,9.8,76.6,51.9,0.0,8.55,-7.355,3.66,129.972,61.199999999999996,Pop
Andrew Gold,Thank You for Being a Friend,19.7,69.8,66.4,0.0,13.600000000000001,-10.923,3.1399999999999997,111.863,80.10000000000001,Rock
38 Special,Second Chance,17.7,65.5,42.9,0.0,6.43,-12.824,2.8899999999999997,118.732,52.800000000000004,Rock
Young the Giant,Apartment,0.6859999999999999,56.99999999999999,73.3,0.0131,21.0,-7.194,3.06,109.97,33.4,Rock
Dr. Dog,Buzzing in the Light,23.7,54.50000000000001,44.3,15.0,8.459999999999999,-10.984,2.9000000000000004,138.434,26.3,Pop
BROCKHAMPTON,1999 WILDFIRE,25.3,81.10000000000001,56.99999999999999,0.0,14.799999999999999,-8.093,12.9,128.066,81.39999999999999,Pop
Joyner Lucas,Stranger Things,44.3,86.7,66.3,0.0,11.700000000000001,-5.838,17.8,121.978,48.1,Pop
Bruno Mars,That's What I Like,1.3,85.3,56.00000000000001,0.0,9.44,-4.961,4.06,134.066,86.0,Pop
Thousand Foot Krutch,Fly On the Wall,0.27699999999999997,61.199999999999996,66.60000000000001,0.0,28.599999999999998,-5.866,3.17,120.048,35.3,Rock
Selena Gomez & The Scene,A Year Without Rain,1.02,62.9,80.60000000000001,0.0017200000000000002,11.200000000000001,-5.264,4.42,119.966,40.9,Pop
Cashmere Cat,Adore,6.68,33.1,61.4,0.0012799999999999999,10.8,-5.588,5.86,139.849,20.1,Pop
Panic! At The Disco,One Of The Drunks,4.26,42.4,89.2,0.0,71.1,-3.78,19.3,174.008,76.2,Pop
Red Hot Chili Peppers,Otherside,0.316,45.800000000000004,79.5,0.0202,7.5600000000000005,-3.265,5.74,123.229,51.300000000000004,Rock
Vicetone,Walk Thru Fire,32.9,63.9,66.4,0.000153,38.2,-4.926,3.5700000000000003,116.028,35.099999999999994,Pop
Drake,Still Here,2.35,83.5,43.6,0.0,63.5,-9.602,17.599999999999998,133.942,23.400000000000002,Pop
PRETTYMUCH,Jello,6.550000000000001,70.39999999999999,63.6,0.0,57.9,-6.652,5.8999999999999995,121.96,55.00000000000001,Pop
Usher,Burn - Confession Special Edition Version,31.4,79.60000000000001,47.699999999999996,0.0,12.0,-7.161,10.8,119.928,68.5,Pop
Liam Payne,First Time,11.4,70.89999999999999,75.9,0.012899999999999998,34.699999999999996,-3.811,4.54,148.011,58.599999999999994,Pop
Cardi B,Please Me,6.419999999999999,74.7,56.99999999999999,0.0,8.32,-6.711,8.1,133.992,65.0,Pop
Florence + The Machine,Cosmic Love,14.499999999999998,52.400000000000006,80.30000000000001,0.019100000000000002,11.5,-5.56,3.66,140.003,8.27,Pop
Queen,Sleeping On The Sidewalk - Remastered 2011,48.4,61.5,77.0,0.0168,32.5,-7.674,2.74,129.734,64.5,Rock
Matchbox Twenty,3 am - Remastered Version,0.13799999999999998,51.4,75.1,0.0,14.499999999999998,-6.839,2.94,108.342,46.5,Rock
Gunna,Cash War,4.109999999999999,94.0,45.5,0.000463,11.4,-6.046,21.0,108.065,10.6,Pop
Starship,Nothing's Gonna Stop Us Now,2.98,64.3,80.10000000000001,0.0,7.19,-4.921,2.2800000000000002,95.988,53.400000000000006,Pop
Sufjan Stevens,Casimir Pulaski Day,90.9,68.60000000000001,17.2,0.154,28.599999999999998,-14.979,4.09,133.899,56.3,Pop
Foster The People,Life on the Nickel,5.2299999999999995,69.39999999999999,95.1,0.338,29.299999999999997,-5.4,7.84,120.014,74.0,Rock
Grateful Dead,Sugar Magnolia - 2001 Remaster,16.6,58.9,62.0,0.000812,15.299999999999999,-9.259,4.31,154.621,65.0,Rock
Boston Manor,Halo,0.078,42.1,82.3,0.00321,20.4,-3.327,4.46,104.973,15.5,Rock
Machine Gun Kelly,Till I Die,3.11,86.4,61.6,0.0,13.600000000000001,-7.027,11.200000000000001,110.043,34.699999999999996,Pop
Banes World,You Say I'm in Love,42.699999999999996,62.3,28.499999999999996,0.27799999999999997,18.9,-16.687,5.38,140.028,34.300000000000004,Rock
3LAU,Touch,1.66,57.599999999999994,79.7,0.00323,21.0,-5.476,4.99,110.051,13.700000000000001,Pop
Lady Gaga,Heal Me,4.81,60.6,54.400000000000006,0.0,9.16,-8.36,5.93,86.013,45.6,Pop
Small Black,No Stranger,0.13,50.6,85.8,0.23800000000000002,12.7,-5.099,3.3099999999999996,116.984,31.6,Rock
Clean Bandit,Baby (feat. MARINA & Luis Fonsi),35.6,75.5,74.0,0.00105,9.94,-5.354,4.0,116.946,33.0,Pop
Metallica,The Four Horsemen (Remastered),0.17099999999999999,22.2,93.8,8.450000000000001,10.8,-6.91,37.5,203.098,32.9,Rock
The Band CAMINO,2 / 14,37.7,60.699999999999996,70.8,0.0,29.4,-7.428,5.390000000000001,97.005,55.1,Rock
blackbear,double,48.6,71.3,58.8,0.0,34.4,-6.803,16.1,120.821,73.5,Pop
Sonic Youth,Teen Age Riot (Album Version),0.027700000000000002,28.599999999999998,90.7,20.200000000000003,8.37,-9.67,3.74,156.395,74.6,Rock
Taylor Swift,Mean,45.2,56.8,76.1,0.0,21.7,-3.987,4.590000000000001,163.974,78.9,Pop
Cody Johnson,Long Haired Country Boy (feat. The Rockin' CJB),0.22799999999999998,53.900000000000006,78.60000000000001,0.0017900000000000001,12.1,-4.884,2.69,88.969,50.3,Rock
blink-182,Reckless Abandon,0.13699999999999998,50.0,96.1,0.0,29.599999999999998,-3.92,9.610000000000001,124.898,51.5,Rock
Edwin McCain,I'll Be - Acoustic Version,89.8,49.6,37.8,0.000118,10.9,-7.878,3.36,144.092,33.5,Rock
Nickelback,Rockstar,4.590000000000001,61.6,91.0,0.0,34.300000000000004,-3.004,3.8600000000000003,144.073,69.3,Pop
Tory Lanez,S.w.I.n.G (feat. PnB Rock & Trey Songz),24.4,62.1,77.7,0.0,44.9,-4.75,15.1,138.007,52.6,Pop
Ellie Goulding,Something In The Way You Move,3.9800000000000004,65.8,81.39999999999999,0.0,11.4,-6.157,4.93,109.004,31.6,Pop
Red Hot Chili Peppers,Look Around,0.5,56.00000000000001,95.3,0.0015999999999999999,22.6,-2.372,8.51,111.911,51.9,Rock
Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),0.987,60.099999999999994,79.4,0.000136,38.800000000000004,-5.844,6.710000000000001,114.066,24.4,Pop
John Mayer,Daughters,83.7,67.4,41.3,0.00191,9.8,-7.816,2.74,124.895,50.3,Rock
