date,make,model,year,transmission,fuel_type,mileage,region,sale_amount
2023-03-01,Audi,Q3,2021,Manual,Electric,4284,Leinster,43200
2022-08-08,Audi,A1,2017,Manual,Diesel,57397,Leinster,11400
2023-01-11,Audi,A1,2019,Manual,Petrol,14706,Connacht,18600
2023-04-21,Audi,Q3,2019,Semi-Auto,P,19400,Connacht,30800
2022-11-03,Audi,Q2,2021,Manual,Electric,6380,Leinster,25700
2022-11-22,Audi,A5,2022,Semi-Auto,Electric,4202,Connacht,43400
2022-09-30,Audi,A5,2022,Semi-Auto,Electric,3600,Leinster,49000
2022-07-02,Audi,Q3,2022,Semi-Auto,Electric,2297,Connacht,45500
2023-04-02,Audi,A5,2021,Semi-Auto,Petrol,10654,Leinster,41200
2022-06-18,Audi,Q3,2018,Manual,Diesel,69629,Munster,17700
2022-05-14,Audi,Q5,2021,Automatic,Electric,966,Leinster,44200
2022-05-03,Audi,A4,2021,Auto,Petrol,10378,Leinster,24000
2022-12-15,Audi,A1,2018,Manual,D,44211,Munster,14000
2023-02-12,Audi,A6,2016,Automatic,Diesel,110592,Connacht,18900
2022-06-22,Audi,A1,2019,Manual,Petrol,30896,Ulster,15000
2022-08-15,Audi,A4,2019,Manual,Diesel,27209,Munster,19200
2022-10-23,Audi,A5,2017,Semi-Auto,Diesel,39075,Connacht,24700
2023-03-15,Audi,A1,2018,Semi-Auto,Petrol,19332,Leinster,22400
2022-06-05,Audi,A3,2021,Semi-Auto,Petrol,3738,Connacht,27000
2022-12-26,Audi,A3,2018,Automatic,Diesel,51666,Connacht,19200
2022-09-22,Audi,Q5,2018,Semi-Auto,Diesel,30116,Leinster,37900
2023-01-04,Audi,A6,2021,Semi-Auto,Electric,4990,Connacht,75500
2022-11-19,Audi,A5,2019,Automatic,Diesel,17665,Leinster,27600
2023-03-15,Audi,A3,2022,Auto,Petrol,2837,Munster,34800
2023-02-02,Audi,A3,2018,Manual,P,28922,Ulster,21300
2023-01-26,Audi,A3,2019,Manual,Diesel,17258,Munster,18200
2023-02-09,Audi,A1,2018,Semi-Auto,Petrol,29334,Connacht,20300
2022-09-13,Audi,Q3,2019,Manual,D,25200,Munster,21600
2022-07-30,Audi,A3,2018,Manual,Petrol,22090,Leinster,19600
2022-12-25,Audi,A6,2021,Auto,Petrol,1400,Ulster,53800
2022-07-22,Audi,Q5,2020,Auto,Petrol,13424,Connacht,37200
2022-06-06,Audi,Q3,2019,Manual,Petrol,25174,Ulster,21000
2023-04-01,Audi,Q3,2019,Manual,Petrol,21427,Leinster,25300
2023-01-23,Audi,A4,2018,Semi-Auto,Diesel,56278,Connacht,20900
2022-06-23,Audi,Q5,2018,Semi-Auto,Diesel,29992,Munster,29200
2022-09-05,Audi,Q5,2020,Semi-Auto,Electric,17108,Connacht,36400
2022-08-16,Audi,A5,2021,Semi-Auto,Electric,1800,Leinster,44800
2022-06-25,Audi,A3,2015,Manual,Diesel,75000,Leinster,8400
2022-05-23,Audi,A1,2019,Manual,Diesel,53196,Ulster,14600
2023-01-02,Audi,A1,2019,Manual,Petrol,17070,Leinster,15600
2022-05-13,Audi,Q2,2019,Manual,Petrol,20400,Connacht,27200
2022-08-20,Audi,Q3,2018,Semi-Auto,P,10577,Leinster,26600
2023-03-20,Audi,Q2,2022,Manual,Petrol,1200,Ulster,31200
2023-04-04,Audi,A1,2019,Manual,Petrol,14300,Leinster,20300
2023-03-17,Audi,A4,2016,Automatic,Diesel,96000,Munster,11900
2022-12-08,Audi,A1,2019,Manual,Petrol,30390,Connacht,16200
2022-05-21,Audi,A5,2019,Manual,Diesel,49427,Ulster,24600
2023-01-24,Audi,A4,2021,Automatic,Electric,1925,Munster,36400
2022-07-24,Audi,A3,2019,Manual,Petrol,34743,Leinster,15600
2023-01-07,Audi,A3,2017,Manual,Diesel,128000,Leinster,8800
2022-05-10,Audi,A4,2019,Manual,Diesel,55200,Connacht,17700
2022-07-05,Audi,A4,2022,Semi-Auto,Petrol,1800,Ulster,42900
2023-02-26,Audi,A3,2017,Manual,D,46893,Munster,13600
2023-01-28,Audi,A4,2021,Semi-Auto,Petrol,1259,Connacht,28800
2022-09-01,Audi,Q2,2022,Manual,Petrol,3200,Leinster,33400
2022-11-15,Audi,A4,2019,Manual,Diesel,17731,Leinster,22700
2022-06-14,Audi,Q2,2022,Manual,Petrol,4200,Ulster,36600
2022-08-30,Audi,A4,2019,Semi-Auto,Diesel,67227,Leinster,17800
2023-01-25,Audi,Q2,2021,Manual,Electric,5160,Munster,36400
2023-01-03,Audi,A3,2016,Manual,D,36151,Leinster,14900
2022-07-29,Audi,A3,2019,Manual,,13500,Connacht,20400
2023-01-31,Audi,A6,2018,Manual,Diesel,34750,Munster,18900
2022-08-19,Audi,Q3,2021,Semi-Auto,Petrol,14801,Ulster,30000
2023-04-10,Audi,Q5,2019,Manual,Diesel,27865,Leinster,25600
2023-01-21,Audi,A1,2018,Manual,Petrol,29700,Leinster,11000
2022-12-21,Audi,Q2,2019,Manual,Petrol,37400,Ulster,23500
2022-05-18,Audi,Q3,2021,Manual,Petrol,1350,Leinster,39200
2023-03-18,Audi,A5,2015,Manual,Diesel,35086,Connacht,14600
2022-07-20,Audi,A3,2021,Semi-Auto,Petrol,18975,Munster,30400
2023-04-09,Audi,Q3,2022,Manual,Petrol,2294,Ulster,36300
2022-09-08,Audi,A6,2018,Semi-Auto,Diesel,26784,Connacht,31500
2023-04-14,Audi,Q2,2021,Semi-Auto,Electric,2018,Munster,32100
2022-09-26,Audi,A6,2022,Semi-Auto,Electric,2799,Leinster,42000
2023-01-26,Audi,A3,2020,Manual,P,10150,Leinster,25800
2022-12-02,Audi,A3,2019,Semi-Auto,Petrol,28461,Munster,33800
2022-07-28,Audi,A4,2021,Automatic,Electric,2705,Leinster,31800
2023-02-18,Audi,Q5,2021,Automatic,Diesel,5241,Ulster,40200
2022-06-16,Audi,Q2,2021,Manual,Petrol,4682,Munster,27400
2023-01-21,Audi,Q2,2021,Automatic,Electric,2219,Leinster,34700
2022-07-16,Audi,A3,2018,Manual,D,26326,Leinster,23800
2022-09-07,Audi,Q5,2018,Automatic,D,74896,Leinster,38500
2023-04-08,Audi,Q5,2022,Semi-Auto,Electric,2726,Munster,44300
2022-10-10,Audi,A4,2022,Semi-Auto,Petrol,3520,Munster,42000
2023-04-10,Audi,A1,2016,Manual,Petrol,39781,Connacht,11700
2023-01-21,Audi,A4,2021,Automatic,Petrol,2000,Leinster,31800
2022-08-06,Audi,A3,2021,Manual,E,4950,Leinster,22800
2022-11-16,Audi,A3,2015,Semi-Auto,Petrol,71263,Leinster,16800
2022-10-25,Audi,Q3,2021,Semi-Auto,Electric,8722,Munster,39200
2022-10-06,Audi,Q3,2019,Manual,Diesel,35750,Munster,22400
2023-02-26,Audi,A3,2017,Manual,Petrol,20695,Leinster,12000
2023-04-28,Audi,A3,2019,Manual,Petrol,21360,Ulster,28000
2022-05-22,Audi,A3,2018,Semi-Auto,Petrol,19654,Munster,22400
2023-02-14,Audi,Q2,2019,Semi-Auto,Petrol,10605,Munster,27700
2023-01-24,Audi,A3,2017,Semi-Auto,Petrol,26513,Leinster,13500
2023-01-24,Audi,A1,2017,Manual,Diesel,33550,Connacht,17500
2022-09-29,Audi,A4,2019,Semi-Auto,Petrol,48806,Leinster,31500
2023-04-24,Audi,A4,2012,Manual,Petrol,80000,Ulster,5100
2023-02-26,Audi,A1,2018,Manual,Petrol,34000,Ulster,12300
2022-08-07,Audi,A6,2019,Semi-Auto,Diesel,20720,Leinster,41900
2022-10-28,Audi,A3,2019,Manual,Diesel,21819,Munster,23800
2022-05-22,Audi,Q5,2017,Manual,D,25878,Leinster,25000
2023-04-12,Audi,A5,2017,Semi-Auto,Diesel,53200,Munster,16700
2022-12-06,Audi,A6,2017,Automatic,Diesel,65365,Munster,20400
2022-09-09,Audi,A4,2021,Manual,Petrol,1342,Munster,27000
2023-01-17,Audi,A3,2014,Manual,P,93500,Connacht,6600
2022-07-23,Audi,Q3,2019,Semi-Auto,Petrol,20079,Leinster,27200
2023-01-27,Audi,A3,2020,Manual,Petrol,9040,Ulster,27300
2022-07-12,Audi,A5,2018,Automatic,Diesel,28769,Munster,19200
2022-05-23,Audi,A5,2021,Semi-Auto,P,2279,Ulster,32400
2022-05-29,Audi,Q3,2015,Manual,Diesel,67727,Connacht,10500
2022-11-12,Audi,A4,2020,Semi-Auto,Diesel,62267,Munster,23800
2022-07-12,Audi,Q5,2021,Auto,Electric,-1,Connacht,47600
2023-04-01,Audi,A3,2017,Automatic,Petrol,14500,Munster,25200
2023-04-06,Audi,A4,2021,Manual,Petrol,4059,Connacht,41900
2022-06-03,Audi,A1,2021,Manual,Petrol,6000,Connacht,26600
2023-04-23,Audi,A3,2021,Semi-Auto,Electric,10522,Leinster,26600
2022-11-09,Audi,A3,2021,Automatic,P,2603,Leinster,28200
2023-02-24,Audi,A4,2021,Manual,Petrol,2174,Leinster,29300
2022-09-06,Audi,A4,2022,Automatic,Electric,-1,Munster,57100
2022-05-23,Audi,A6,2021,Semi-Auto,Electric,6000,Leinster,39000
2023-04-21,Audi,Q3,2018,Manual,Diesel,40800,Connacht,22100
2022-12-17,Audi,A3,2017,Manual,Diesel,81629,Leinster,10300
2023-02-12,Audi,A4,2017,Semi-Auto,Diesel,24969,Munster,16800
2022-09-18,Audi,A6,2019,Semi-Auto,Diesel,21789,Leinster,30800
2023-01-31,Audi,A1,2020,Manual,Electric,8826,Leinster,15600
2022-11-30,,A6,2020,Semi-Auto,D,28750,Leinster,36600
2022-07-24,Audi,A3,2020,Semi-Auto,Electric,14240,Connacht,28600
2022-11-13,Audi,A1,2021,Semi-Auto,Petrol,1238,Munster,28600
2023-02-02,Audi,A1,2017,Manual,Diesel,23643,Leinster,13700
2023-03-07,Audi,A1,2020,Manual,Petrol,8720,Leinster,23000
2022-05-15,Audi,A3,2021,Semi-Auto,Petrol,5450,Leinster,40900
2022-11-18,Audi,A4,2018,Semi-Auto,Petrol,36100,Munster,25200
2022-10-19,Audi,A4,2016,Manual,D,60348,Munster,13000
2022-06-17,Audi,Q3,2021,Manual,Petrol,4398,Leinster,38500
2022-07-17,Audi,A5,2021,Auto,Petrol,1100,Munster,35400
2022-09-29,Audi,A3,2019,Manual,Diesel,27385,Leinster,15400
2022-09-19,Audi,A4,2018,Manual,Petrol,19749,Munster,22400
2023-03-10,Audi,Q2,2021,Semi-Auto,Petrol,4356,Leinster,40700
2022-07-17,Audi,Q3,2020,Manual,Petrol,8571,Leinster,24900
2023-01-05,Audi,A4,2020,Semi-Auto,Electric,14383,Munster,40500
2023-03-17,Audi,A6,2020,Automatic,Electric,12392,Connacht,37600
2022-08-27,Audi,A3,2021,Auto,P,8965,Ulster,31500
2023-02-19,Audi,A4,2019,Automatic,Diesel,56626,Ulster,19800
2022-06-17,Audi,Q5,2019,Semi-Auto,Diesel,26251,Munster,33700
2023-04-07,Audi,Q5,2021,Automatic,Electric,6000,Munster,52000
2023-02-11,Audi,A1,2019,Manual,Petrol,5560,Connacht,20100
2023-04-18,Audi,A1,2019,Manual,Diesel,35852,Connacht,16200
2022-09-03,Audi,A3,2017,Manual,Diesel,35425,Munster,14900
2022-11-05,Audi,A4,2018,Manual,Petrol,17920,Connacht,19200
2023-02-13,Audi,Q2,2021,Manual,Electric,1800,Ulster,25800
2022-06-08,Audi,Q3,2016,Manual,Diesel,59139,Munster,15600
2022-11-04,Audi,Q5,2018,Manual,Diesel,44181,Leinster,21600
2022-05-01,Audi,A3,2021,Manual,Electric,1876,Munster,33600
2023-01-07,Audi,Q3,2019,Manual,Diesel,21600,Leinster,22100
2023-02-22,Audi,A4,2019,Auto,Diesel,20901,Leinster,22200
2023-02-13,Audi,A5,2022,Semi-Auto,Electric,3710,Munster,38100
2022-10-26,Audi,A1,2018,Manual,Petrol,18373,Leinster,23300
2023-03-21,Audi,A5,2022,Semi-Auto,Electric,2100,Munster,32400
2023-04-27,Audi,A4,2019,Manual,Diesel,29260,Leinster,23000
2022-05-24,Audi,Q5,2021,Semi-Auto,Electric,6480,Leinster,38600
2023-01-19,Audi,A3,2019,Manual,Petrol,15466,Leinster,19700
2022-07-23,Audi,Q5,2017,Manual,Diesel,58698,Ulster,18300
2022-10-14,Audi,Q2,2019,Manual,Petrol,18365,Connacht,23400
2023-01-08,Audi,A5,2018,Semi-Auto,Petrol,36330,Connacht,23700
2023-02-19,Audi,A3,2020,Semi-Auto,Electric,30076,Ulster,35000
2022-08-11,Audi,A3,2020,Semi-Auto,Petrol,10378,Munster,23400
2022-06-16,Audi,A3,2018,Manual,Diesel,59319,Munster,18900
2022-07-02,Audi,A3,2019,Manual,Diesel,20759,Connacht,20300
2023-01-19,Audi,A5,2019,Semi-Auto,Petrol,24380,Munster,36400
2022-07-15,Audi,Q2,2019,Manual,Petrol,29150,Connacht,21400
2022-06-26,Audi,A1,2018,Manual,Diesel,44000,Connacht,11400
2023-03-11,Audi,A3,2021,Manual,Electric,5665,Connacht,28500
2022-11-24,Audi,A5,2022,Semi-Auto,Diesel,4800,Leinster,40800
2022-06-06,Audi,A4,2019,Manual,Petrol,11593,Connacht,21400
2023-01-02,Audi,A1,2021,Semi-Auto,,7407,Connacht,28600
2023-03-08,Audi,Q3,2022,Automatic,Diesel,1341,Connacht,48300
2023-03-13,Audi,A4,2018,Manual,Petrol,37448,Munster,16700
2022-09-04,Audi,Q2,2019,Automatic,Diesel,25561,Munster,28000
2022-11-04,Audi,A3,2019,Manual,Petrol,23043,Connacht,25200
2022-09-09,Audi,Q5,2021,Automatic,Diesel,1037,Munster,43600
2022-10-04,Audi,Q3,2017,Manual,P,37500,Munster,22500
2023-02-28,Audi,Q3,2019,Manual,Diesel,60343,Leinster,19800
2023-03-05,Audi,Q5,2019,Semi-Auto,Petrol,13484,Leinster,45600
2022-11-05,Audi,A4,2021,Automatic,Petrol,3754,Ulster,31200
2022-09-16,Audi,A4,2018,Semi-Auto,Diesel,35682,Ulster,19500
2023-02-11,Audi,A1,2017,Manual,Diesel,50040,Ulster,13000
2023-04-03,Audi,Q2,2021,Automatic,Petrol,3200,Connacht,36400
2023-03-14,Audi,Q3,2016,Manual,Petrol,49987,Ulster,17800
2022-10-10,Audi,A3,2019,Manual,Diesel,45620,Ulster,21800
2022-09-28,Audi,A3,2018,Manual,Petrol,32887,Leinster,22000
