MinTemp,MaxTemp,Temp9am,Temp3pm
21.4,28.4,25.2,27.5
21.2,28.5,23.2,26.3
22,28.8,26.3,27.7
22.4,30.4,26.9,27.1
20.5,26.3,21.8,25.9
21.3,28.2,24.4,26.8
22.8,29.3,27.1,27.9
21.2,28,25.8,27.4
21.8,29.9,25.7,26.9
22,28.7,24.3,25.2
20.6,22.9,21.1,21.1
20.4,24.4,22.9,22.9
18.9,28.8,21.2,24.5
21.1,34.2,28.6,33.4
22,29,26.1,24.8
21.2,27.6,24.7,26.6
20.7,35.7,27,33.5
20.7,29.1,24.5,28.6
20.9,22.7,21.7,21.7
18.1,24.8,20.3,23.9
19.7,28,24.4,27.1
22.5,28.3,26.4,27.5
22.4,29.1,25.8,28.7
22.7,29.1,26.7,28.3
21.6,34.4,25,31.2
20.2,20.4,20.4,19.7
18.9,20.4,19.2,20.2
17.3,20.5,17.9,18.2
14.6,24.3,19,22.1
15.2,27.3,19.6,26.8
17,26.1,21.4,24.2
19.3,26.6,22,24.2
18,25,19.6,23.4
18.5,26.5,20.1,25.7
17.3,25.6,20.1,22.9
18.6,24.3,21.9,22.5
17.6,25.6,20.5,23.6
18.8,26.5,20.3,26
18.9,32.1,23.3,28.3
22.7,25.9,23.7,25.3
21.5,28.2,24,27.7
22.8,28.6,25.8,27.1
21,28.8,26.1,27.6
20.4,28.1,22.1,25.1
20.4,27.2,23.1,26.9
20.3,29.4,22.4,26.4
22.1,28,25.4,26.8
21.9,27.8,25.7,26.1
22.2,27.6,26.4,26.7
22.2,27.6,23,25.8
21.7,26.8,23.8,25.6
20.5,25.6,22.9,24.5
20.7,27.4,23.8,26.8
22.4,27.6,24.1,26.9
22.2,25.6,23.3,24.8
20.1,23.8,22.2,22.9
19.9,25.8,21.5,24.9
20,27.5,21.1,26.4
20.1,27,23.3,26.5
22,36.4,26.2,29.3
18.2,24.6,20.1,23.7
16.8,27.7,22.5,25.8
21.5,27.9,23.7,26.9
20.4,28.6,25.2,23.1
16.2,30.9,21.1,29.6
19.3,25.4,19.8,24.6
19.6,27.6,21,25.6
20.3,31.2,23.7,27.7
